Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1004,4,2013-03-21,5508,437,1,1,0,0
1005,4,2013-03-21,6070,918,1,1,0,0
1006,4,2013-03-21,5008,752,1,1,0,0
1007,4,2013-03-21,7199,808,1,1,0,0
1008,4,2013-03-21,5598,770,1,1,0,0
1009,4,2013-03-21,4635,430,1,1,0,0
1010,4,2013-03-21,9339,818,1,1,0,0
1011,4,2013-03-21,7906,965,1,1,0,0
1012,4,2013-03-21,5489,475,1,1,0,0
1013,4,2013-03-21,4217,503,1,1,0,0
1014,4,2013-03-21,12972,1476,1,1,0,0
1015,4,2013-03-21,6156,524,1,1,0,1
1016,4,2013-03-21,6295,572,1,1,0,0
1017,4,2013-03-21,7986,1182,1,1,0,0
1018,4,2013-03-21,11195,1317,1,1,0,0
1019,4,2013-03-21,9470,740,1,1,0,0
1020,4,2013-03-21,9029,1152,1,1,0,0
1021,4,2013-03-21,8141,917,1,1,0,0
1022,4,2013-03-21,7445,835,1,1,0,0
1023,4,2013-03-21,6717,683,1,1,0,0
1024,4,2013-03-21,6152,807,1,1,0,0
1025,4,2013-03-21,8118,926,1,1,0,1
1026,4,2013-03-21,10569,1279,1,1,0,0
1027,4,2013-03-21,14363,1755,1,1,0,0
1028,4,2013-03-21,4228,543,1,1,0,0
1029,4,2013-03-21,6264,857,1,1,0,0
1030,4,2013-03-21,4608,416,1,1,0,0
1031,4,2013-03-21,5461,473,1,1,0,0
1032,4,2013-03-21,9478,1007,1,1,0,0
1033,4,2013-03-21,14045,1283,1,1,0,0
1034,4,2013-03-21,6852,783,1,1,0,0
1035,4,2013-03-21,5415,643,1,1,0,0
1036,4,2013-03-21,4849,453,1,1,0,0
1037,4,2013-03-21,7365,948,1,1,0,0
1038,4,2013-03-21,6041,512,1,1,0,0
1039,4,2013-03-21,7913,1081,1,1,0,0
1040,4,2013-03-21,9389,1000,1,1,0,0
1041,4,2013-03-21,6048,644,1,1,0,0
1042,4,2013-03-21,4117,602,1,1,0,0
1043,4,2013-03-21,9012,1163,1,1,0,0
1044,4,2013-03-21,7013,898,1,1,0,0
1045,4,2013-03-21,9382,1009,1,1,0,0
1046,4,2013-03-21,7926,621,1,1,0,0
1047,4,2013-03-21,4944,543,1,1,0,0
1048,4,2013-03-21,7214,532,1,1,0,0
1049,4,2013-03-21,4234,611,1,1,0,0
1050,4,2013-03-21,7152,505,1,1,0,0
1051,4,2013-03-21,6959,1027,1,1,0,0
1052,4,2013-03-21,8194,839,1,1,0,0
1053,4,2013-03-21,8661,1000,1,1,0,1
1054,4,2013-03-21,5737,619,1,1,0,0
1055,4,2013-03-21,8213,984,1,1,0,0
1056,4,2013-03-21,3336,293,1,1,0,0
1057,4,2013-03-21,6783,688,1,1,0,0
1058,4,2013-03-21,7152,723,1,1,0,0
1059,4,2013-03-21,8626,1211,1,1,0,0
1060,4,2013-03-21,7675,930,1,1,0,0
1061,4,2013-03-21,6663,484,1,1,0,0
1062,4,2013-03-21,7202,687,1,1,0,1
1063,4,2013-03-21,3907,519,1,1,0,0
1064,4,2013-03-21,9662,1149,1,1,0,0
1065,4,2013-03-21,4102,476,1,1,0,0
1066,4,2013-03-21,11475,1194,1,1,0,0
1067,4,2013-03-21,5477,437,1,1,0,0
1068,4,2013-03-21,3610,243,1,1,0,0
1069,4,2013-03-21,5771,766,1,1,0,0
1070,4,2013-03-21,7134,898,1,1,0,1
1071,4,2013-03-21,6381,789,1,1,0,0
1072,4,2013-03-21,7777,705,1,1,0,0
1073,4,2013-03-21,6865,839,1,1,0,0
1074,4,2013-03-21,5204,594,1,1,0,0
1075,4,2013-03-21,9823,971,1,1,0,0
1076,4,2013-03-21,3429,574,1,1,0,0
1077,4,2013-03-21,4788,514,1,1,0,0
1078,4,2013-03-21,5908,485,1,1,0,0
1079,4,2013-03-21,10264,783,1,1,0,0
1080,4,2013-03-21,9678,776,1,1,0,0
1081,4,2013-03-21,0,0,0,1,0,0
1082,4,2013-03-21,7741,1126,1,1,0,0
