date,store_id,unit_sales
2011-01-29,CA_1,4
2011-01-30,CA_1,2
2011-01-31,CA_1,16
2011-02-01,CA_1,5
2011-02-02,CA_1,0
2011-02-03,CA_1,5
2011-02-04,CA_1,0
2011-02-05,CA_1,1
2011-02-06,CA_1,3
2011-02-07,CA_1,1
2011-02-08,CA_1,0
2011-02-09,CA_1,4
2011-02-10,CA_1,3
2011-02-11,CA_1,3
2011-02-12,CA_1,19
2011-02-13,CA_1,0
2011-02-14,CA_1,8
2011-01-29,CA_2,0
2011-01-30,CA_2,2
2011-01-31,CA_2,5
2011-02-01,CA_2,0
2011-02-02,CA_2,8
2011-02-03,CA_2,0
2011-02-04,CA_2,4
2011-02-05,CA_2,5
2011-02-06,CA_2,0
2011-02-07,CA_2,2
2011-02-08,CA_2,0
2011-02-09,CA_2,4
2011-02-10,CA_2,0
2011-02-11,CA_2,8
2011-02-12,CA_2,4
2011-02-13,CA_2,6
2011-02-14,CA_2,10
2011-01-29,CA_3,1
2011-01-30,CA_3,22
2011-01-31,CA_3,3
2011-02-01,CA_3,14
2011-02-02,CA_3,6
2011-02-03,CA_3,0
2011-02-04,CA_3,3
2011-02-05,CA_3,3
2011-02-06,CA_3,0
2011-02-07,CA_3,8
2011-02-08,CA_3,16
2011-02-09,CA_3,0
2011-02-10,CA_3,6
2011-02-11,CA_3,19
2011-02-12,CA_3,7
2011-02-13,CA_3,0
2011-02-14,CA_3,0
2011-01-29,CA_4,0
2011-01-30,CA_4,1
2011-01-31,CA_4,0
2011-02-01,CA_4,0
2011-02-02,CA_4,7
2011-02-03,CA_4,8
2011-02-04,CA_4,2
2011-02-05,CA_4,0
2011-02-06,CA_4,23
2011-02-07,CA_4,2
2011-02-08,CA_4,5
2011-02-09,CA_4,0
2011-02-10,CA_4,1
2011-02-11,CA_4,0
2011-02-12,CA_4,0
2011-02-13,CA_4,13
2011-02-14,CA_4,5
2011-01-29,TX_1,5
2011-01-30,TX_1,14
2011-01-31,TX_1,1
2011-02-01,TX_1,7
2011-02-02,TX_1,0
2011-02-03,TX_1,4
2011-02-04,TX_1,0
2011-02-05,TX_1,0
2011-02-06,TX_1,0
2011-02-07,TX_1,13
2011-02-08,TX_1,2
2011-02-09,TX_1,0
2011-02-10,TX_1,4
2011-02-11,TX_1,0
2011-02-12,TX_1,4
2011-02-13,TX_1,1
2011-01-29,TX_2,0
2011-01-30,TX_2,1
2011-01-31,TX_2,8
2011-02-01,TX_2,0
2011-02-02,TX_2,1
2011-02-03,TX_2,4
2011-02-04,TX_2,2
2011-02-05,TX_2,18
2011-02-06,TX_2,1
2011-02-07,TX_2,3
2011-02-08,TX_2,1
2011-02-09,TX_2,0
2011-02-10,TX_2,11
2011-02-11,TX_2,3
2011-02-12,TX_2,0
2011-02-13,TX_2,0
2011-01-29,TX_3,5
2011-01-30,TX_3,5
2011-01-31,TX_3,1
2011-02-01,TX_3,3
2011-02-02,TX_3,6
2011-02-03,TX_3,4
2011-02-04,TX_3,0
2011-02-05,TX_3,18
2011-02-06,TX_3,2
2011-02-07,TX_3,1
2011-02-08,TX_3,0
2011-02-09,TX_3,1
2011-02-10,TX_3,2
2011-02-11,TX_3,1
2011-02-12,TX_3,8
2011-02-13,TX_3,39
2011-01-29,WI_1,3
2011-01-30,WI_1,8
2011-01-31,WI_1,2
2011-02-01,WI_1,0
2011-02-02,WI_1,0
2011-02-03,WI_1,2
2011-02-04,WI_1,3
2011-02-05,WI_1,0
2011-02-06,WI_1,5
2011-02-07,WI_1,3
2011-02-08,WI_1,3
2011-02-09,WI_1,0
2011-02-10,WI_1,0
2011-02-11,WI_1,0
2011-02-12,WI_1,0
2011-02-13,WI_1,63
2011-01-29,WI_2,2
2011-01-30,WI_2,1
2011-01-31,WI_2,84
2011-02-01,WI_2,0
2011-02-02,WI_2,3
2011-02-03,WI_2,35
2011-02-04,WI_2,1
2011-02-05,WI_2,43
2011-02-06,WI_2,9
2011-02-07,WI_2,14
2011-02-08,WI_2,8
2011-02-09,WI_2,1
2011-02-10,WI_2,1
2011-02-11,WI_2,8
2011-02-12,WI_2,1
2011-02-13,WI_2,0
2011-01-29,WI_3,13
2011-01-30,WI_3,1
2011-01-31,WI_3,1
2011-02-01,WI_3,0
2011-02-02,WI_3,0
2011-02-03,WI_3,2
2011-02-04,WI_3,4
2011-02-05,WI_3,1
2011-02-06,WI_3,0
2011-02-07,WI_3,0
2011-02-08,WI_3,0
2011-02-09,WI_3,5
2011-02-10,WI_3,4
2011-02-11,WI_3,0
2011-02-12,WI_3,7
2011-02-13,WI_3,1
